Grapheme	IPA
p	p
b	b
bh	bʰ
f	f
v	v
w	v
m	m
ü	ɨ
üː	ɨ̄
ü	ɨ
üː	ɨ̄
úː	ū́
-	
u	u
ö	ɘ
öː	ɘ̄
o	o
oː	ō
óː	ṓ
û	ū
ô	ō
ć	ʦ
ź	ʣ
źh	ʣʰ
t	t
d	d
dh	dʰ
s	s
z	z
l	l
ɬ	ɬ
n	n
c̣	ʦ̣
j̣	ʣ̣
J̣	ʣ̣
j̣h	ʣ̣ʰ
ṭ	ṭ
ḍ	ḍ
ḍh	ḍʰ
ṣ	ṣ
ẓ	ẓ
r	r
ṛ	ṛ
ḷ	ḷ
ř	r̆
ň	r̆̃
ṇ	ṇ
r̥	r̆
č	c
ǰ	j
ǰh	jʰ
š	ś
ž	ź
y	y
i	i
e	e
ä	æ
î	ī
ê	ē
k̂	kʸ
ĝ	gʸ
ĝh	gʸʰ
k	k
g	g
gh	gʰ
x	x
ǧ	ɣ
ʱ	ʰ
ʷ	ʷ
ŋ	ŋ
ï	ï
ïː	ï̄
a	ə
aː	ə̄
â	a
âː	ā
å	a
q	q
ḥ	ħ
ʕ	ʕ
ʔ	ʔ
h	h
ɦ	h
ɦ̊	h
˜	̃
_ 
=	
·	
+	
,	
`	́
´	
#	 
_	 
[	
]	
ʹa	ə́
ʹâ	á
âʹ	ǎ
ʹâː	ā́
ʹe	é
ʹê	ḗ
eː	ē
êʹ	ē̌
ʹi	í
iʹ	ǐ
iː	ī
ʹî	ī́
ʹiː	ī́
îʹ	ī̌
ʹo	ó
ʹoː	ṓ
ʹô	ṓ
ôʹ	ō̌
ûʹ	ū̌
ʹu	ú
ʹû	ū́
ʹuː	ū́
ʹü	ɨ́
