Grapheme	IPA
p	p
ph	pʰ
b	b
bh	bʰ
f	f
v	v
w	v
m	m
ü	ɨ
üː	ɨ̄
ü	ɨ
üː	ɨ̄
úː	ū́
-	-
u	u
ö	ɘ
öː	ɘ̄
o	o
oː	ō
óː	ṓ
û	ū
ô	ō
ć	ʦ
ćh	ʦʰ
ź	ʣ
źh	ʣʰ
t	t
th	tʰ
d	d
dh	dʰ
s	s
z	z
l	l
ɬ	ɬ
n	n
c̣	ʦ̣
j̣	ʣ̣
J̣	ʣ̣
j̣h	ʣ̣ʰ
ṭ	ṭ
ṭh	ṭʰ
ḍ	ḍ
ḍh	ḍʰ
ṣ	ṣ
ẓ	ẓ
r	r
ṛ	ṛ
ḷ	ḷ
ř	r̆
ň	r̆̃
ṇ	ṇ
r̥	r̩
č	c
ǰ	j
ǰh	jʰ
š	ś
ž	ź
y	y
i	i
e	e
ä	æ
î	ī
ê	ē
k̂	kʸ
ĝ	gʸ
ĝh	gʸʰ
k	k
kh	kʰ
g	g
gh	gʰ
x	x
ǧ	ɣ
ʱ	ʰ
ʷ	ʷ
ŋ	ŋ
ï	ï
ïː	ï̄
a	a
aː	aa
â	ā
âː	āā
å	a
q	q
ḥ	ħ
ʕ	ʕ
ʔ	ʔ
h	h
ɦ	h
ɦ̊	h
˜	̃
_ 
=	
·	
+	
,	
`	́
´	
#	 
_	 
[	
]	
eː	ē
iː	ī
ʹa	á
ʹâ	ā́
ʹâː	ā́ā́
ʹä	ǽ
ʹe	é
ʹê	ḗ
ʹiː	ī́
ʹi	í
ʹî	ī́
ʹo	ó
ʹoː	ṓ
ʹô	ṓ
ʹu	ú
ʹû	ū́
ʹuː	ū́
u:	ū
i:	ī
a:	ā
ʹü	ɨ́
âʹ	ǎ
êʹ	ē̌
iʹ	ǐ
îʹ	ī̌
ôʹ	ō̌
ûʹ	ū̌
ī	ī
ʹr̥	ŕ̩
ū	ū
ə	ə
ʹu:	ū́
ʹi:	ī́
ʹa:	ā́
â:	ā
δ̣	δ̣
'a	á
*	*
