Indo-Aryan,1,a,,,,pron,CDIAL,1:
Indo-Aryan,1,asyá,,,,gen,CDIAL,1:@variant
Indo-Aryan,1,asmai,,,,dat,CDIAL,1:@variant
Indo-Aryan,1,asmin,,,,loc,CDIAL,1:@variant
Pa,1,assa,,,,,CDIAL,2:
Pa,1,asmiṁ,,,,,CDIAL,2:
Pa,1,assa,,,,,CDIAL,2:
Pa,1,asmiṁ,,,,,CDIAL,2:
Pk,1,assa,,,,,CDIAL,2:
Pk,1,assiṁ,,,,,CDIAL,2:
Pk,1,assa,,,,,CDIAL,2:
Pk,1,assiṁ,,,,,CDIAL,2:
Shum,1,as,,,,"(e.g. <i>nāmas</i> 'his name'), obl",CDIAL,2:
Shum,1,ame,,,,,CDIAL,2:
Bshk,1,as,his,,,,CDIAL,2:
Mai,1,as,that,,,,CDIAL,2:
Indo-Aryan,2,áṁśa,"share, part",,,m; RV,CDIAL,1:
Pa,2,aṁsa,,,,m,CDIAL,2:
Pk,2,aṁsa,,,,m,CDIAL,2:
Pk,2,aṁsiyā,,,,f,CDIAL,2:
Wg,2,onshái,"lot, chance",,,"""; (Morgenstierne NTS xvii 227 with ?)",CDIAL;Morgenstierne;NTS,2:
Ku,2,ã̄s,,,,,CDIAL,2:
Ku,2,ã̄so,share,,,m,CDIAL,2:
Ku,2,ã̄si,measure of land,,,f,CDIAL,2:
B,2,do-ã̄ś,consisting of two parts or two grains,,,,CDIAL,2:
B,2,do-ã̄ślā,cross-bred,,,,CDIAL,2:
Or,2,ã̄siā,having angles,,,(if not rather &lt; <smallcaps>áśri</smallcaps>-),CDIAL,2:
Bi,2,ã̄sī,the smallest sheaf,,,(or poss. &lt; *<smallcaps>adhamāṁśa</smallcaps>-),CDIAL,2:
Si,2,asa,"part, half",,,,CDIAL,2:
Indo-Aryan,3,*aṁśabhōgin,sharing,,,,CDIAL,1:
Ku,3,ãsoī,partner,,,m,CDIAL,2:
Indo-Aryan,4,aṁśú,"filament esp. of soma-plant; thread, minute particle, ray",,,m; RV,CDIAL,1:
Pa,4,aṁsu,thread,,,m,CDIAL,2:
Pk,4,aṁsu,sunbeam,,,m,CDIAL,2:
